artist_name,﻿genre,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Ariana Grande,Dance,7 rings,14msK75pk3pA33pzPVNtBF,100,0.578,0.725,178640,0.321,0,C#,0.0884,-10.744,Minor,0.323,70.142,4/4,0.319
Halsey,Dance,Without Me,5p7ujcrUXASCNwRaWNHR1C,97,0.297,0.752,201661,0.488,9.11e-06,F#,0.0936,-7.05,Major,0.0705,136.041,4/4,0.533
Ariana Grande,Dance,needy,1TEL6MlSSVLSdhOSddidlJ,92,0.78,0.647,171573,0.309,7.41e-06,G,0.202,-7.948,Minor,0.0366,87.045,4/4,0.195
Ariana Grande,Dance,NASA,4uTvPEr01pjTbZgl7jcKBD,91,0.451,0.747,182000,0.458,0,F#,0.252,-6.891,Major,0.303,75.029,4/4,0.47
Ariana Grande,Dance,bloodline,2hloaUoRonYssMuqLCBLTX,91,0.0815,0.758,216893,0.665,0.000157,D,0.216,-5.188,Minor,0.0774,151.976,4/4,0.643
Ariana Grande,Dance,bad idea,5Il6Oe7lr5XM7A0cWbVQtr,91,0.0268,0.847,267107,0.579,0.0545,C#,0.102,-5.314,Major,0.0719,137.998,4/4,0.569
benny blanco,Dance,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,91,0.555,0.56,173800,0.68,0,F#,0.116,-7.648,Minor,0.321,89.391,4/4,0.319
Ariana Grande,Dance,fake smile,3wFLWP0FcIqHK1wb1CPthQ,90,0.329,0.45,208880,0.619,0,A,0.319,-7.412,Major,0.372,83.3,4/4,0.427
Lauv,Dance,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,93,0.176,0.599,162583,0.733,0,B,0.242,-7.058,Major,0.203,102.211,4/4,0.534
Ava Max,Dance,Sweet but Psycho,25sgk305KZfyuqVBQIahim,97,0.0691,0.719,187436,0.704,0,C#,0.166,-4.724,Major,0.0476,133.002,4/4,0.628
Ariana Grande,Dance,imagine,39LmTF9RgyakzSYX8txrow,90,0.378,0.729,212267,0.475,0,G#,0.12,-4.985,Major,0.0364,62.52,3/4,0.371
Alec Benjamin,Dance,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,92,0.74,0.652,169354,0.557,0,C#,0.124,-5.714,Minor,0.0318,150.073,4/4,0.483
Lady Gaga,Dance,Shallow,2VxeLyX666F8uXCJ0dZF8B,95,0.371,0.572,215733,0.385,0,G,0.231,-6.362,Major,0.0308,95.799,4/4,0.323
Ariana Grande,Dance,in my head,4T652DlATVHe0jdLKaN3Bw,88,0.173,0.662,222947,0.6,0.000137,C,0.109,-6.402,Major,0.0703,134.979,4/4,0.331
Jonas Brothers,Dance,Sucker,4y3OI86AEP6PQoDE6olYhO,91,0.0436,0.846,181040,0.731,0,C#,0.0949,-5.027,Minor,0.064,137.947,4/4,0.933
Lady Gaga,Dance,Shallow - Radio Edit,6QfS2wq5sSC1xAJCQsTSlj,90,0.416,0.575,217213,0.33,0,G,0.0872,-6.557,Major,0.031,95.801,4/4,0.277
Ariana Grande,Dance,make up,27356GVuMPFWiJSZCragoM,87,0.0844,0.671,140693,0.714,1.48e-06,G,0.0568,-5.373,Major,0.21,105.137,3/4,0.477
The Chainsmokers,Dance,Who Do You Love (with 5 Seconds of Summer),11cDEev79fPKi6uJCjUhu8,91,0.00791,0.51,226747,0.835,0,D#,0.219,-4.673,Major,0.0447,140.024,4/4,0.435
Bazzi,Dance,Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,89,0.346,0.638,180000,0.717,0,D,0.105,-4.722,Major,0.0337,100.027,4/4,0.249
Ariana Grande,Dance,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,90,0.04,0.699,205920,0.713,3.11e-06,A,0.294,-5.507,Minor,0.0594,121.993,4/4,0.354
The Chainsmokers,Dance,This Feeling,4NBTZtAt1F13VvlSKe6KTl,88,0.0558,0.575,197947,0.571,0,C#,0.0912,-7.906,Major,0.0439,105.049,4/4,0.449
Mark Ronson,Dance,Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF,92,0.00987,0.601,217467,0.794,1.36e-06,G,0.388,-5.844,Minor,0.0671,114.066,4/4,0.244
Ariana Grande,Dance,breathin,4OafepJy2teCjYJbvFE60J,87,0.0211,0.568,198160,0.656,1.37e-05,G#,0.213,-5.413,Major,0.0433,100.049,4/4,0.364
benny blanco,Dance,Roses (with Juice WRLD feat. Brendon Urie),5YAP8zpqj1eIX88makBjDe,83,0.166,0.613,223543,0.6,0,G#,0.117,-7.097,Major,0.154,147.059,4/4,0.532
Bazzi,Dance,Mine,7uzmGiiJyRfuViKKK3lVmR,86,0.0161,0.71,131064,0.789,2.77e-06,E,0.451,-3.874,Major,0.0722,142.929,4/4,0.717
Lauv,Dance,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,87,0.535,0.752,197437,0.505,2.55e-06,A,0.104,-7.621,Major,0.253,91.97,4/4,0.419
Bebe Rexha,Dance,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,85,0.047,0.643,163870,0.783,0,A#,0.083,-6.458,Major,0.0856,154.084,4/4,0.579
Ariana Grande,Dance,God is a woman,5OCJzvD7sykQEKHH7qAC3C,87,0.0233,0.602,197547,0.658,6e-05,C#,0.237,-5.934,Major,0.0558,145.031,4/4,0.268
King Princess,Dance,1950,0CZ8lquoTX2Dkg7Ak2inwA,84,0.648,0.6,225133,0.535,4.7e-06,E,0.162,-7.043,Major,0.107,71.912,4/4,0.269
The Chainsmokers,Dance,Hope,4BiiOzZCrXEzHRLYcYFiD5,88,0.488,0.773,180120,0.699,3.6e-06,C#,0.0814,-5.982,Minor,0.0958,104.941,4/4,0.513
Ellie Goulding,Dance,Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,92,0.0969,0.574,182623,0.758,0,C#,0.395,-5.029,Minor,0.0621,144.111,4/4,0.492
Bebe Rexha,Dance,I'm a Mess,04ZTP5KsCypmtCmQg5tH9R,86,0.00281,0.63,195519,0.694,0,B,0.0719,-6.257,Minor,0.0253,97.005,4/4,0.216
Calvin Harris,Dance,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,94,0.016,0.807,229184,0.887,0.000503,C#,0.0811,-4.311,Minor,0.0361,122.015,4/4,0.606
The Chainsmokers,Dance,Closer,7BKLCZ1jbUBVqRi2FVlTVw,86,0.414,0.748,244960,0.524,0,G#,0.111,-5.599,Major,0.0338,95.01,4/4,0.661
Bebe Rexha,Dance,Last Hurrah,0i0wnv9UoFdZ5MfuFGQzMy,85,0.175,0.514,150333,0.618,0,B,0.117,-4.585,Minor,0.0317,84.259,4/4,0.401
5 Seconds of Summer,Dance,Youngblood,2iUXsYOEPhVqEBwsqP70rE,87,0.0169,0.596,203418,0.854,0,G,0.124,-5.114,Minor,0.463,120.274,4/4,0.152
Lady Gaga,Dance,Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk,87,0.299,0.553,210200,0.502,0,C,0.764,-5.972,Major,0.0409,129.976,4/4,0.296
Kehlani,Dance,Nights Like This (feat. Ty Dolla $ign),6ZRuF2n1CQxyxxAAWsKJOy,83,0.367,0.61,201788,0.725,0,G#,0.154,-5.131,Major,0.15,146.163,4/4,0.291
Lauv,Dance,There's No Way (feat. Julia Michaels),2hnxrRNzF74mdDzpQZQukQ,85,0.49,0.755,174861,0.625,0,D,0.157,-7.114,Major,0.0896,147.02,4/4,0.374
Bruno Mars,Dance,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,85,0.013,0.853,206693,0.56,0,C#,0.0944,-4.961,Major,0.0406,134.066,4/4,0.86
Selena Gomez,Dance,Wolves,0tBbt8CrmxbjRP0pueQkyU,86,0.129,0.72,197993,0.807,0,B,0.183,-4.59,Minor,0.0432,124.946,4/4,0.305
Camila Cabello,Dance,Havana,1rfofaqEpACxVEHIZBJe6W,88,0.184,0.765,217307,0.523,3.56e-05,D,0.132,-4.333,Major,0.03,104.988,4/4,0.394
Miley Cyrus,Dance,Party In The U.S.A.,5Q0Nhxo0l2bP3pNjpGJwV1,76,0.00124,0.454,202067,0.708,0.000181,A#,0.0679,-4.526,Minor,0.0675,192.18,4/4,0.483
Halsey,Dance,Bad At Love,7y9iMe8SOB6z3NoHE2OfXl,81,0.0604,0.675,181279,0.751,0,C,0.0893,-3.539,Major,0.0296,118.384,4/4,0.612
Bruno Mars,Dance,Finesse (Remix) [feat. Cardi B],3Vo4wInECJQuz9BIBMOu8i,83,0.0185,0.704,217289,0.859,0,F,0.0215,-4.877,Minor,0.0996,105.115,4/4,0.926
Zedd,Dance,The Middle,09IStsImFySgyp0pIQdqAc,87,0.171,0.753,184732,0.657,0,G,0.112,-3.061,Major,0.0449,107.01,4/4,0.437
Why Don't We,Dance,Big Plans,6Yx181fZzA0YE2EkUsYruq,85,0.0668,0.693,179930,0.604,0,B,0.114,-5.279,Major,0.0427,75.014,4/4,0.651
5 Seconds of Summer,Dance,Lie To Me (feat. Julia Michaels),6GzApXoBQiiAjak3tOQfV3,85,0.0132,0.611,149878,0.52,0,C,0.105,-5.445,Major,0.0346,159.927,4/4,0.771
Shawn Mendes,Dance,In My Blood,2QZ7WLBE8h2y1Y5Fb8RYbH,87,0.0573,0.622,211360,0.712,0,F,0.13,-7.321,Major,0.066,140.025,4/4,0.487
Ariana Grande,Dance,Into You,2meEiZKWkiN28gITzFwQo5,84,0.0162,0.623,244453,0.734,1.9e-06,A,0.145,-5.95,Major,0.107,107.853,4/4,0.372
Selena Gomez,Dance,Back To You - From 13 Reasons Why – Season 2 Soundtrack,4hQ6UGyWQIGJmHSo0J88JW,84,0.0945,0.601,207905,0.724,1.68e-06,F#,0.12,-4.856,Major,0.0486,102.061,4/4,0.508
Chris Brown,Dance,Undecided,7uiBocndm12aKbsdnQ3Scx,86,0.172,0.441,187298,0.527,0,D#,0.233,-5.318,Major,0.0966,96.37,4/4,0.589
