genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Blues,Twenty One Pilots,Nico And The Niners,5SehvGGC53A7SZKCLXQcyt,77,0.0699,0.728,225040,0.602,7.01e-06,A,0.318,-7.748,Minor,0.185,140.081,4/4,0.328
Blues,Beyoncé,Crazy In Love,5IVuqXILoxVWvWEPm82Jxr,78,0.00249,0.646,236133,0.77,0,D,0.0715,-6.596,Minor,0.226,99.165,4/4,0.681
Blues,LANY,Thick And Thin,3D110t9ctcoOoylXsc3iR8,76,0.059,0.697,212002,0.551,0,F,0.0762,-6.179,Minor,0.0282,99.996,4/4,0.339
Industrial,XXXTENTACION,Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,86,0.847,0.734,95467,0.57,2.14e-05,G,0.112,-7.066,Minor,0.133,129.953,4/4,0.689
Blues,Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,97,0.45,0.741,171030,0.52,1.97e-06,G#,0.222,-7.513,Major,0.0656,102.998,4/4,0.347
Blues,Foster The People,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,83,0.145,0.733,239600,0.71,0.115,F,0.0956,-5.849,Minor,0.0292,127.975,4/4,0.965
Hip-Hop,Lil Peep,Benz Truck (гелик),3kBD2xHIqKWXjLAGidDTSz,76,0.0498,0.602,159987,0.762,0.00819,D,0.121,-6.149,Minor,0.0347,92.02,4/4,0.112
Industrial,XXXTENTACION,I Don't Wanna Do This Anymore,5de9Ho64dovuQI8Uhn5gPD,80,0.843,0.433,87561,0.778,0,E,0.139,-7.681,Major,0.041,114.208,4/4,0.764
Industrial,Cardi B,Ring (feat. Kehlani),5DfWF0jqMgZDCiu9zJENTA,78,0.049,0.767,177140,0.543,0,C#,0.115,-7.881,Minor,0.103,106.029,4/4,0.485
Prance,Hailee Steinfeld,Capital Letters,6l0Ky2PycJV1Bz88kFeVGL,81,0.0337,0.661,219373,0.814,8.27e-06,C,0.0518,-5.529,Major,0.0759,99.963,4/4,0.459
Prance,Liam Payne,Familiar,0Y4hwUppbGc8aIBmiTz30A,78,0.0161,0.636,196552,0.805,0,A,0.0793,-4.594,Major,0.327,92.958,4/4,0.908
Blues,Boogie,Rainy Days (feat. Eminem),015jLlgBeSkl3CApWJhlv7,76,0.0146,0.866,234640,0.51,0,A#,0.107,-6.254,Major,0.256,106.949,4/4,0.171
Hip-Hop,Danny Ocean,Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,84,0.0231,0.744,205715,0.804,0,C#,0.0494,-6.327,Major,0.0677,104.823,4/4,0.426
Industrial,Jason Derulo,"Colors - Coca-Cola® Anthem, 2018 FIFA World CupTM",7wD6iRghe6SnKHkvHqpnC5,71,0.0278,0.707,187390,0.845,0,G#,0.134,-3.478,Major,0.201,120.125,4/4,0.507
Industrial,System Of A Down,Toxicity,0snQkGI5qnAmohLE7jTsTn,78,0.000264,0.413,218933,0.873,0.0025,G#,0.204,-4.151,Major,0.0535,116.681,3/4,0.481
